pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_massj,pl_msinij,pl_radj,pl_dens,pl_orbincl,pl_ttvflag,ra,dec,st_dist,st_vj,st_teff,st_mass,st_rad,hd_name,hip_name,st_radv,st_sp,st_lum,st_metfe,st_acts,st_actr,pl_msinie,pl_disc
HD 40979,b,Radial Velocity,267.20000000,0.811000,0.230000,,3.32000,,,,0,91.124763,44.260445,33.33,6.735,,,,HD 40979,HIP 28767,32.80,3.80,,,0.234,-4.630,1055.15115,2002
HD 41004A,b,Radial Velocity,963.00000000,1.640000,0.390000,,2.54000,,,,0,89.956871,-48.239693,43.03,8.621,,,,HD 41004A,HIP 28393A,42.20,,,,,,807.25419,2004
HD 41004B,b,Radial Velocity,1.32830000,0.017700,0.081000,,18.37000,,,,0,89.956886,-48.239841,43.03,,,,,HD 41004B,HIP 28393B,,6.20,,,,,5838.29000,2004
HD 4113,b,Radial Velocity,526.62000000,1.280000,0.903000,,1.56000,,,,0,10.802486,-37.982632,44.05,7.881,,,,HD 4113,HIP 3391,4.00,4.50,,,,,495.79391,2007
HD 4203,b,Radial Velocity,431.88000000,1.164000,0.519000,,2.07000,,,,0,11.171676,20.448927,77.82,8.687,,,,HD 4203,HIP 3502,-14.10,4.50,,,0.136,-5.180,657.88038,2001
HD 4208,b,Radial Velocity,829.00000000,1.700000,0.040000,,0.80000,,,,0,11.111043,-26.515680,32.70,7.783,,,,HD 4208,HIP 3479,56.20,4.50,,,0.170,-4.950,254.25329,2001
HD 4308,b,Radial Velocity,15.60900000,0.118000,0.270000,,0.04050,,,,0,11.163615,-65.649521,21.85,6.560,,,,HD 4308,HIP 3497,95.10,4.50,,,0.200,,12.87157,2005
HD 4313,b,Radial Velocity,356.00000000,1.190000,0.041000,,2.30000,,,,0,11.418160,7.845021,131.41,7.822,,,,HD 4313,HIP 3574,,4.50,,,,,730.97800,2010
HD 43197,b,Radial Velocity,327.80000000,,,,0.60000,,,,0,93.398590,-29.897270,54.94,8.953,,,,HD 43197,HIP 29550,,4.90,,,,,190.68997,2009
HD 43691,b,Radial Velocity,36.96000000,0.240000,0.140000,,2.49000,,,,0,94.894485,41.092304,93.20,8.024,,,,HD 43691,HIP 30057,-29.20,4.00,,,,,791.36336,2007
HD 43848,b,Radial Velocity,2371.00000000,3.400000,0.690000,,25.00000,,,,0,94.130676,-40.531860,37.05,8.595,,,,HD 43848,HIP 29804,,5.10,,,,,7945.41528,2008
HD 44219,b,Radial Velocity,472.00000000,,,,0.58000,,,,0,95.059677,-10.725009,50.43,7.698,,,,HD 44219,HIP 30114,-12.40,4.30,,,,,184.33363,2009
HD 45184,b,Radial Velocity,5.88720000,0.063800,0.300000,,0.04000,,,,0,96.182831,-28.780113,22.04,6.390,,,,HD 45184,HIP 30503,-4.10,4.20,,,0.167,-4.950,13.00000,2011
HD 45350,b,Radial Velocity,890.76000000,1.920000,0.778000,,1.79000,,,,0,97.190460,38.962963,48.95,7.885,,,,HD 45350,HIP 30860,-21.30,4.50,,,0.147,-5.100,568.89173,2004
HD 45364,b,Radial Velocity,226.93000000,0.681300,0.168400,,0.18720,,,,0,96.410316,-31.480953,32.58,8.062,,,,HD 45364,HIP 30579,15.90,5.00,,,0.204,,59.49527,2009
HD 45364,c,Radial Velocity,342.85000000,0.897200,0.097400,,0.65790,,,,0,96.410316,-31.480953,32.58,8.062,,,,HD 45364,HIP 30579,15.90,5.00,,,0.204,,209.09155,2009
HD 45652,b,Radial Velocity,43.60000000,0.230000,0.380000,,0.47000,,,,0,97.304962,10.933891,36.14,8.127,,,,HD 45652,HIP 30905,,5.50,,,,,149.37381,2008
HD 46375,b,Radial Velocity,3.02400000,0.041000,0.040000,,0.24900,,,,0,98.302597,5.462925,33.41,7.912,,,,HD 46375,HIP 31246,-1.60,5.00,,,0.186,-4.960,79.13634,2000
HD 47186,b,Radial Velocity,4.08450000,0.050000,0.038000,,0.07167,,,,0,99.036613,-27.622297,37.84,7.626,,,,HD 47186,HIP 31540,3.80,4.50,,,,,22.77792,2008
HD 47186,c,Radial Velocity,1353.60000000,2.395000,0.249000,,0.35061,,,,0,99.036613,-27.622297,37.84,7.626,,,,HD 47186,HIP 31540,3.80,4.50,,,,,111.42968,2008
